,id,startDate,endDate,currentMatchday,winner,winner_id,winner_name,winner_shortName,winner_tla
0,733,2021-08-13,2022-05-23,4.0,,,,,
1,619,2020-09-12,2021-05-23,38.0,,65.0,Manchester City FC,Man City,MCI
2,468,2019-08-09,2020-07-25,38.0,,64.0,Liverpool FC,Liverpool,LIV
3,151,2018-08-10,2019-05-12,38.0,,65.0,Manchester City FC,Man City,MCI
4,23,2017-08-11,2018-05-13,38.0,,65.0,Manchester City FC,Man City,MCI
5,256,2016-08-13,2017-05-21,,,61.0,Chelsea FC,Chelsea,CHE
6,257,2015-08-08,2016-05-17,,,338.0,Leicester City FC,Leicester City,LEI
7,258,2014-08-16,2015-05-24,,,61.0,Chelsea FC,Chelsea,CHE
8,259,2013-08-17,2014-05-11,,,65.0,Manchester City FC,Man City,MCI
9,260,2012-08-18,2013-05-19,,,66.0,Manchester United FC,Man United,MUN
10,261,2011-08-13,2012-05-13,,,65.0,Manchester City FC,Man City,MCI
11,262,2010-08-14,2011-05-22,,,66.0,Manchester United FC,Man United,MUN
12,263,2009-08-15,2010-05-09,,,61.0,Chelsea FC,Chelsea,CHE
13,264,2008-08-16,2009-05-24,,,66.0,Manchester United FC,Man United,MUN
14,265,2007-08-11,2008-05-11,,,66.0,Manchester United FC,Man United,MUN
15,266,2006-08-19,2007-05-13,,,66.0,Manchester United FC,Man United,MUN
16,267,2005-08-13,2006-05-07,,,61.0,Chelsea FC,Chelsea,CHE
17,268,2004-08-14,2005-05-15,,,61.0,Chelsea FC,Chelsea,CHE
18,269,2003-08-16,2004-05-15,,,57.0,Arsenal FC,Arsenal,ARS
19,270,2002-08-17,2003-05-11,,,66.0,Manchester United FC,Man United,MUN
20,271,2001-08-18,2002-05-11,,,57.0,Arsenal FC,Arsenal,ARS
21,272,2000-08-19,2001-05-19,,,66.0,Manchester United FC,Man United,MUN
22,273,1999-08-07,2000-05-14,,,66.0,Manchester United FC,Man United,MUN
23,274,1998-08-15,1999-05-16,,,66.0,Manchester United FC,Man United,MUN
24,275,1997-08-09,1998-05-10,,,57.0,Arsenal FC,Arsenal,ARS
25,276,1996-08-17,1997-05-11,,,66.0,Manchester United FC,Man United,MUN
26,277,1995-08-19,1996-05-04,,,66.0,Manchester United FC,Man United,MUN
27,254,1994-08-20,1995-05-14,,,59.0,Blackburn Rovers FC,Blackburn,BBR
28,255,1993-08-14,1994-05-08,,,66.0,Manchester United FC,Man United,MUN
