,id,name,shortName,tla,crestUrl,address,phone,website,email,founded,clubColors,venue,lastUpdated,area_id,area_name
0,57,Arsenal FC,Arsenal,ARS,https://crests.football-data.org/57.svg,75 Drayton Park London N5 1BU,+44 (020) 76195003,http://www.arsenal.com,info@arsenal.co.uk,1886.0,Red / White,Emirates Stadium,2020-11-26T02:15:20Z,2072,England
1,58,Aston Villa FC,Aston Villa,AST,https://crests.football-data.org/58.svg,Villa Park Birmingham B6 6HE,+44 (0121) 3272299,http://www.avfc.co.uk,,1872.0,Claret / Sky Blue,Villa Park,2021-03-03T09:46:16Z,2072,England
2,59,Blackburn Rovers FC,Blackburn,BBR,https://crests.football-data.org/59.svg,Ewood Park Blackburn BB2 4JF,+44 (0871) 7021875,http://www.rovers.co.uk,,1874.0,Blue / White,Ewood Park,2020-11-26T02:16:34Z,2072,England
3,60,Bolton Wanderers FC,Bolton,BOL,https://crests.football-data.org/60.svg,Burnden Way Bolton BL6 6JW,+44 (0844) 8712932,http://www.bwfc.co.uk,reception@bwfc.co.uk,1874.0,White / Navy Blue,University of Bolton Stadium,2020-11-26T02:16:54Z,2072,England
4,61,Chelsea FC,Chelsea,CHE,https://crests.football-data.org/61.svg,Fulham Road London SW6 1HS,+44 (0871) 9841955,http://www.chelseafc.com,,1905.0,Royal Blue / White,Stamford Bridge,2020-11-26T02:14:18Z,2072,England
5,62,Everton FC,Everton,EVE,https://crests.football-data.org/62.svg,Goodison Park Liverpool L4 4EL,+44 (0871) 6631878,http://www.evertonfc.com,everton@evertonfc.com,1878.0,Blue / White,Goodison Park,2021-04-12T13:10:14Z,2072,England
6,63,Fulham FC,Fulham,FUL,https://crests.football-data.org/63.svg,"Craven Cottage, Stevenage Road London SW6 6HH",+44 (0870) 4421222,http://www.fulhamfc.com,enquiries@fulhamfc.com,1879.0,White / Black,Craven Cottage,2021-04-09T02:26:44Z,2072,England
7,64,Liverpool FC,Liverpool,LIV,https://crests.football-data.org/64.svg,Anfield Road Liverpool L4 0TH,+44 (0844) 4993000,http://www.liverpoolfc.tv,customercontact@liverpoolfc.tv,1892.0,Red / White,Anfield,2021-04-14T07:42:22Z,2072,England
8,65,Manchester City FC,Man City,MCI,https://crests.football-data.org/65.svg,SportCity Manchester M11 3FF,+44 (0870) 0621894,https://www.mancity.com,mancity@mancity.com,1880.0,Sky Blue / White,Etihad Stadium,2021-04-14T07:43:27Z,2072,England
9,66,Manchester United FC,Man United,MUN,https://crests.football-data.org/66.svg,Sir Matt Busby Way Manchester M16 0RA,+44 (0161) 8688000,http://www.manutd.com,enquiries@manutd.co.uk,1878.0,Red / White,Old Trafford,2021-04-08T22:19:28Z,2072,England
10,67,Newcastle United FC,Newcastle,NEW,https://crests.football-data.org/67.svg,Sports Direct Arena Newcastle upon Tyne NE1 4ST,,http://www.nufc.co.uk,admin@nufc.co.uk,1881.0,Black / White,St. James' Park,2020-11-26T02:14:26Z,2072,England
11,68,Norwich City FC,Norwich,NOR,https://upload.wikimedia.org/wikipedia/en/8/8c/Norwich_City.svg,Carrow Road Norwich NR1 1JE,,http://www.canaries.co.uk,reception@ncfc-canaries.co.uk,1902.0,Yellow / Green,Carrow Road,2021-04-20T18:23:20Z,2072,England
12,69,Queens Park Rangers FC,QPR,QPR,http://upload.wikimedia.org/wikipedia/de/d/d4/Queens_Park_Rangers.svg,"South Africa Road, Shepherds Bush London W12 7PA",,http://www.qpr.co.uk,qpr@qpr.co.uk,1882.0,Blue / White,Kiyan Prince Foundation Stadium,2020-11-26T02:16:38Z,2072,England
13,70,Stoke City FC,Stoke,STO,http://upload.wikimedia.org/wikipedia/de/a/a3/Stoke_City.svg,Stanley Matthews Way Stoke-on-Trent ST4 4EG,+44 (0871) 6632008,http://www.stokecityfc.com,info@stokecityfc.com,1863.0,Red / White,Bet365 Stadium,2020-11-26T02:16:39Z,2072,England
14,71,Sunderland AFC,Sunderland,SUN,https://crests.football-data.org/71.svg,The Sunderland Stadium of Light Sunderland SR5 1SU,+44 (0871) 9111200,http://www.safc.com,enquiries@safc.com,1879.0,Red / White,Stadium of Light,2020-11-26T02:16:51Z,2072,England
15,73,Tottenham Hotspur FC,Tottenham,TOT,https://crests.football-data.org/73.svg,"Bill Nicholson Way, 748 High Road London N17 0AP",+44 (0844) 4995000,http://www.tottenhamhotspur.com,customer.care@tottenhamhotspur.com,1882.0,Navy Blue / White,Tottenham Hotspur Stadium,2020-11-20T07:12:32Z,2072,England
